,ODD,HC,UOC,FTEP,OSP,FTAG,HTAG,FT25,HT25,FTHAG,HTHAG,FTH25,HTH25
21,3.5,1268,4552,27.855887521968363,11.535732387227572,[1.42025483 1.26405975],[0.64125659 0.56370826],50.988576449912124,11.533391915641475,[1.03785489 1.03785489],[0.46687697 0.4692429 ],26.261829652996845,6.703470031545741
22,3.6,1008,3917,25.73398008680112,9.926507856056768,[1.46234363 1.25044677],[0.65177432 0.55246362],51.26372223640541,12.509573653306102,[1.05853175 1.05853175],[0.4781746  0.48214286],26.686507936507937,8.134920634920634
23,3.7,43,183,23.497267759562842,0.4637607704004055,[1.45355191 1.28415301],[0.67213115 0.58469945],51.36612021857923,13.661202185792352,[0.90697674 0.90697674],[0.39534884 0.46511628],20.930232558139537,11.627906976744185
24,3.75,554,2104,26.330798479087452,5.331981753674607,[1.54087452 1.28944867],[0.68821293 0.55941065],54.562737642585546,13.022813688212928,[1.10108303 1.10108303],[0.5198556 0.4765343],28.51985559566787,9.566787003610107
25,3.8,433,1834,23.60959651035987,4.647744551444501,[1.5697928  1.31188659],[0.71101418 0.58015267],55.39803707742639,14.231188658669575,[1.10161663 1.10161663],[0.49884527 0.48267898],28.406466512702078,8.083140877598153
26,3.9,64,225,28.444444444444443,0.5701976685250887,[1.70222222 1.15555556],[0.81777778 0.50222222],55.111111111111114,14.666666666666666,[1.140625 1.140625],[0.484375 0.5     ],31.25,7.8125
27,4.0,462,2081,22.200864968765018,5.273694880892042,[1.65497357 1.25324363],[0.73378184 0.56030754],56.463238827486784,13.983661701105238,[1.16450216 1.16450216],[0.53896104 0.53896104],31.601731601731604,9.956709956709958
28,4.1,14,76,18.421052631578945,0.19260010136847439,[1.85526316 0.93421053],[0.78947368 0.46052632],59.210526315789465,10.526315789473683,[1.14285714 1.14285714],[0.71428571 0.57142857],28.57142857142857,14.285714285714285
29,4.2,203,1019,19.921491658488712,2.582361885453624,[1.72129539 1.24926398],[0.7468106  0.58096173],58.096172718351326,14.91658488714426,[1.13300493 1.13300493],[0.5270936  0.50738916],30.049261083743843,11.822660098522167
30,4.25,0,1,0.0,0.002534211860111505,[0. 1.],[0. 1.],0.0,0.0,,,,
31,4.3,1,1,100.0,0.002534211860111505,[1. 1.],[0. 1.],0.0,0.0,[1. 1.],[0. 1.],0.0,0.0
32,4.33,162,769,21.066319895968793,1.9488089204257475,[1.70611183 1.26007802],[0.76202861 0.58517555],55.91677503250976,15.474642392717817,[1.16666667 1.16666667],[0.48148148 0.52469136],30.864197530864196,10.493827160493826
33,4.4,3,7,42.857142857142854,0.017739483020780537,[1.57142857 1.28571429],[0.57142857 0.85714286],28.57142857142857,28.57142857142857,[1.66666667 1.66666667],[0.33333333 1.        ],33.33333333333333,33.33333333333333
34,4.5,148,828,17.874396135265698,2.098327420172326,[1.77536232 1.26086957],[0.7910628  0.56280193],60.507246376811594,14.734299516908212,[1.08783784 1.08783784],[0.43243243 0.52027027],31.08108108108108,6.081081081081082
35,4.6,3,27,11.11111111111111,0.06842372022301065,[1.66666667 1.66666667],[0.7037037  0.77777778],66.66666666666666,22.22222222222222,[1.66666667 1.66666667],[1.33333333 0.66666667],66.66666666666666,33.33333333333333
36,4.75,148,743,19.919246298788696,1.8829194120628483,[1.81292059 1.23553163],[0.80753701 0.55720054],59.623149394347244,15.746971736204577,[1.18918919 1.18918919],[0.54054054 0.43918919],32.432432432432435,10.135135135135135
37,4.8,1,5,20.0,0.012671059300557527,[3. 1.],[1.6 0.4],80.0,20.0,[2. 2.],[1. 1.],100.0,0.0
38,5.0,104,608,17.105263157894736,1.540800810947795,[1.96710526 1.19078947],[0.89473684 0.51644737],59.539473684210535,17.269736842105264,[1.20192308 1.20192308],[0.57692308 0.49038462],31.73076923076923,9.615384615384617
39,5.1,0,1,0.0,0.002534211860111505,[0. 2.],[0. 0.],0.0,0.0,,,,
40,5.25,59,353,16.71388101983003,0.8945767866193614,[1.90084986 1.15580737],[0.83852691 0.5694051 ],62.889518413597735,16.147308781869686,[1.06779661 1.06779661],[0.55932203 0.44067797],30.508474576271187,10.16949152542373
41,5.4,0,1,0.0,0.002534211860111505,[0. 3.],[0. 2.],100.0,0.0,,,,
42,5.5,71,412,17.233009708737864,1.0440952863659403,[1.97330097 1.17961165],[0.90776699 0.51456311],64.07766990291263,16.50485436893204,[1.05633803 1.05633803],[0.56338028 0.42253521],29.577464788732392,14.084507042253522
43,5.75,25,225,11.11111111111111,0.5701976685250887,[1.99111111 1.46222222],[0.92888889 0.70666667],68.44444444444444,23.11111111111111,[1.48 1.48],[0.76 0.72],40.0,28.000000000000004
44,6.0,48,317,15.141955835962145,0.8033451596553473,[2.25236593 1.16719243],[1.01577287 0.52365931],69.08517350157729,20.189274447949526,[1.33333333 1.33333333],[0.52083333 0.45833333],39.58333333333333,10.416666666666668
