,ODD,HC,UOC,FTEP,OSP,FTAG,HTAG,FT25,HT25,FTHAG,HTHAG,FTH25,HTH25
57,2.2,532,1230,43.2520325203252,3.1170805879371515,[1.42682927 1.12926829],[0.6495935  0.52113821],47.80487804878049,12.113821138211382,[2.19736842 0.57330827],[0.9906015  0.26879699],56.57894736842105,12.593984962406015
58,2.25,451,1134,39.77072310405644,2.873796249366447,[1.34656085 1.15343915],[0.60582011 0.51146384],45.67901234567901,9.700176366843033,[2.25498891 0.52993348],[1.03325942 0.26607539],56.76274944567628,13.082039911308204
59,2.3,488,1164,41.92439862542955,2.9498226051697922,[1.43298969 1.17353952],[0.61168385 0.49570447],48.71134020618557,10.309278350515463,[2.30737705 0.60245902],[0.97540984 0.24795082],60.040983606557376,11.885245901639344
60,2.35,32,71,45.07042253521127,0.17992904206791688,[1.26760563 1.04225352],[0.50704225 0.52112676],38.028169014084504,7.042253521126761,[1.875 0.5  ],[0.75  0.375],46.875,6.25
61,2.37,253,634,39.905362776025235,1.6066903193106945,[1.3533123 1.1340694],[0.61987382 0.47318612],44.321766561514195,8.832807570977918,[2.23715415 0.52173913],[1.01976285 0.22529644],53.75494071146245,10.67193675889328
62,2.38,121,297,40.74074074074074,0.7526609224531171,[1.34343434 1.23232323],[0.65319865 0.54882155],47.81144781144781,11.784511784511785,[2.19834711 0.52066116],[0.97520661 0.2231405 ],50.413223140495866,10.743801652892563
63,2.4,309,843,36.654804270462634,2.136340598073999,[1.257414   1.17319098],[0.55753262 0.5717675 ],44.83985765124555,10.438908659549229,[2.15210356 0.54692557],[0.9223301  0.33333333],56.957928802588995,13.268608414239482
64,2.45,288,787,36.594663278271916,1.9944247339077545,[1.30876747 1.21092757],[0.57687421 0.57306226],45.61626429479034,10.927573062261754,[2.15972222 0.53125   ],[0.90277778 0.25      ],53.125,12.152777777777777
65,2.5,342,913,37.458926615553125,2.313735428281804,[1.28258488 1.21467689],[0.57502738 0.56516977],45.78313253012048,10.076670317634173,[2.23684211 0.61403509],[1.         0.32163743],57.60233918128655,13.157894736842104
66,2.55,220,578,38.062283737024224,1.46477445514445,[1.25432526 1.1816609 ],[0.5467128  0.53633218],44.11764705882353,9.16955017301038,[2.06363636 0.53181818],[0.89090909 0.25      ],53.63636363636364,10.454545454545453
67,2.6,202,610,33.114754098360656,1.5458692346680183,[1.25737705 1.26393443],[0.59016393 0.56229508],46.557377049180324,12.459016393442624,[2.13366337 0.56435644],[0.9950495  0.29207921],56.930693069306926,16.33663366336634
68,2.62,149,416,35.81730769230769,1.0542321338063863,[1.24519231 1.20913462],[0.53846154 0.52884615],45.19230769230769,8.413461538461538,[2.12080537 0.57718121],[0.83892617 0.22147651],55.70469798657718,6.0402684563758395
69,2.63,88,244,36.0655737704918,0.6183476938672072,[1.30737705 1.39754098],[0.58196721 0.62295082],50.0,10.245901639344263,[2.28409091 0.71590909],[0.97727273 0.35227273],61.36363636363637,14.772727272727273
70,2.65,2,4,50.0,0.01013684744044602,[2. 1.],[1.  0.5],50.0,50.0,[3.5 1. ],[2. 1.],100.0,100.0
71,2.7,236,748,31.550802139037433,1.895590471363406,[1.20721925 1.35294118],[0.50534759 0.60160428],48.26203208556149,9.62566844919786,[2.11440678 0.52542373],[0.83898305 0.27118644],54.23728813559322,8.898305084745763
72,2.75,199,579,34.369602763385146,1.4673086670045616,[1.24006908 1.25734024],[0.56822107 0.56303972],44.21416234887737,10.362694300518134,[2.14572864 0.56281407],[0.9798995 0.2361809],53.266331658291456,12.060301507537687
73,2.8,210,690,30.434782608695656,1.7486061834769386,[1.16521739 1.31884058],[0.47246377 0.6115942 ],46.81159420289855,9.855072463768117,[2.13333333 0.6047619 ],[0.83333333 0.32380952],60.0,9.047619047619047
74,2.87,106,368,28.804347826086957,0.932589964521034,[1.08152174 1.30978261],[0.48369565 0.55978261],42.66304347826087,9.782608695652174,[2.19811321 0.62264151],[1.03773585 0.28301887],57.54716981132076,12.264150943396226
